movie_title,domestic_gross,total_gross,budget,runtime_minutes,genres,rating,imd_url,director,producers,cinematographer,distributor
Pokémon the Movie 2000,43758684,133949270,30000000.0,84.0,Action,,https://pro.imdb.com/title/tt0210234?ref_=mojo_rl_summary&rf=mojo_rl_summary,Michael Haigney,Yukako Matsusako,Hisao Shirai,Warner Bros.
Miss Congeniality,106807667,212742720,45000000.0,109.0,Action,PG-13,https://pro.imdb.com/title/tt0212346?ref_=mojo_rl_summary&rf=mojo_rl_summary,Donald Petrie,Sandra Bullock,László Kovács,Warner Bros.
Any Given Sunday,75530832,100230832,55000000.0,162.0,Drama,R,https://pro.imdb.com/title/tt0146838?ref_=mojo_rl_summary&rf=mojo_rl_summary,Oliver Stone,Dan Halsted,Salvatore Totino,Warner Bros.
The Beach,39785027,144056873,50000000.0,119.0,Adventure,R,https://pro.imdb.com/title/tt0163978?ref_=mojo_rl_summary&rf=mojo_rl_summary,Danny Boyle,Andrew Macdonald,Darius Khondji,Twentieth Century Fox
The Exorcist 2000 Director's Cut,39671011,112053066,11000000.0,122.0,Horror,R,https://pro.imdb.com/title/tt0070047?ref_=mojo_rl_summary&rf=mojo_rl_summary,William Friedkin,William Peter Blatty,Owen Roizman,Warner Bros.
Pitch Black,39240659,53187659,23000000.0,109.0,Action,R,https://pro.imdb.com/title/tt0134847?ref_=mojo_rl_summary&rf=mojo_rl_summary,David Twohy,Tom Engelman,David Eggby,USA Films
The Emperor's New Groove,89302687,169327687,100000000.0,78.0,Adventure,,https://pro.imdb.com/title/tt0120917?ref_=mojo_rl_summary&rf=mojo_rl_summary,Mark Dindal,Randy Fullmer,Thomas Baker,Walt Disney Studios Motion Pictures
The Family Man,75793305,124745083,60000000.0,125.0,Comedy,PG-13,https://pro.imdb.com/title/tt0218967?ref_=mojo_rl_summary&rf=mojo_rl_summary,Brett Ratner,Marc Abraham,Dante Spinotti,Universal Pictures
Little Nicky,39464775,58292295,85000000.0,90.0,Comedy,PG-13,https://pro.imdb.com/title/tt0185431?ref_=mojo_rl_summary&rf=mojo_rl_summary,Steven Brill,Jack Giarraputo,Theo van de Sande,New Line Cinema
Autumn in New York,37761915,90726668,65000000.0,103.0,Drama,PG-13,https://pro.imdb.com/title/tt0174480?ref_=mojo_rl_summary&rf=mojo_rl_summary,Joan Chen,Gary Lucchesi,Changwei Gu,Metro-Goldwyn-Mayer (MGM)
Bedazzled,37886980,90383208,48000000.0,93.0,Comedy,PG-13,https://pro.imdb.com/title/tt0230030?ref_=mojo_rl_summary&rf=mojo_rl_summary,Harold Ramis,Trevor Albert,Bill Pope,Twentieth Century Fox
28 Days,37170488,62198945,43000000.0,103.0,Comedy,PG-13,https://pro.imdb.com/title/tt0191754?ref_=mojo_rl_summary&rf=mojo_rl_summary,Betty Thomas,Jenno Topping,Declan Quinn,Sony Pictures Entertainment (SPE)
Keeping the Faith,37047880,59945183,29000000.0,128.0,Comedy,PG-13,https://pro.imdb.com/title/tt0171433?ref_=mojo_rl_summary&rf=mojo_rl_summary,Edward Norton,Stuart Blumberg,Anastas N. Michos,Walt Disney Studios Motion Pictures
Bounce,36805288,53425292,35000000.0,106.0,Drama,PG-13,https://pro.imdb.com/title/tt0186894?ref_=mojo_rl_summary&rf=mojo_rl_summary,Don Roos,Michael Besman,Robert Elswit,Miramax
Hanging Up,36050230,51880044,60000000.0,94.0,Comedy,PG-13,https://pro.imdb.com/title/tt0162983?ref_=mojo_rl_summary&rf=mojo_rl_summary,Diane Keaton,Nora Ephron,Howard Atherton,Sony Pictures Entertainment (SPE)
The Flintstones in Viva Rock Vegas,35268275,59468275,83000000.0,90.0,Comedy,PG,https://pro.imdb.com/title/tt0158622?ref_=mojo_rl_summary&rf=mojo_rl_summary,Brian Levant,Bruce Cohen,Jamie Anderson,Universal Pictures
The Skulls,35046120,50802120,35000000.0,106.0,Action,PG-13,https://pro.imdb.com/title/tt0192614?ref_=mojo_rl_summary&rf=mojo_rl_summary,Rob Cohen,Neal H. Moritz,Shane Hurlbut,Universal Pictures
Mysteries of Egypt,40593486,44703731,,,Documentary,,https://pro.imdb.com/title/tt0145921?ref_=mojo_rl_summary&rf=mojo_rl_summary,Bruce Neibaur,Ahmed Sami,Reed Smoot,IMAX
The 6th Day,34604280,96085477,82000000.0,123.0,Action,PG-13,https://pro.imdb.com/title/tt0216216?ref_=mojo_rl_summary&rf=mojo_rl_summary,Roger Spottiswoode,Jon Davison,Pierre Mignot,Sony Pictures Entertainment (SPE)
My Dog Skip,34134641,35547761,6000000.0,95.0,Comedy,PG,https://pro.imdb.com/title/tt0156812?ref_=mojo_rl_summary&rf=mojo_rl_summary,Jay Russell,John Lee Hancock,James L. Carter,Warner Bros.
Where the Heart Is,33772838,40863718,15000000.0,,Comedy,PG-13,https://pro.imdb.com/title/tt0198021?ref_=mojo_rl_summary&rf=mojo_rl_summary,Matt Williams,Susan Cartsonis,Richard Greatrex,Twentieth Century Fox
"Dude, Where's My Car?",46729800,73180723,13000000.0,83.0,Comedy,PG-13,https://pro.imdb.com/title/tt0242423?ref_=mojo_rl_summary&rf=mojo_rl_summary,Danny Leiner,Broderick Johnson,Robert M. Stevens,Twentieth Century Fox
Pay It Forward,33519628,55707411,40000000.0,123.0,Drama,PG-13,https://pro.imdb.com/title/tt0223897?ref_=mojo_rl_summary&rf=mojo_rl_summary,Mimi Leder,Peter Abrams,Oliver Stapleton,Warner Bros.
Return to Me,32722798,36609995,24000000.0,115.0,Comedy,PG,https://pro.imdb.com/title/tt0122459?ref_=mojo_rl_summary&rf=mojo_rl_summary,Bonnie Hunt,Jennie Lew Tugend,László Kovács,Metro-Goldwyn-Mayer (MGM)
Almost Famous,32534850,47383689,60000000.0,122.0,Adventure,R,https://pro.imdb.com/title/tt0181875?ref_=mojo_rl_summary&rf=mojo_rl_summary,Cameron Crowe,Ian Bryce,John Toll,DreamWorks Distribution
The Legend of Bagger Vance,30919168,39459427,80000000.0,126.0,Drama,PG-13,https://pro.imdb.com/title/tt0146984?ref_=mojo_rl_summary&rf=mojo_rl_summary,Robert Redford,Jake Eberts,Michael Ballhaus,DreamWorks Distribution
The Art of War,30208599,40400425,60000000.0,117.0,Action,R,https://pro.imdb.com/title/tt0160009?ref_=mojo_rl_summary&rf=mojo_rl_summary,Christian Duguay,Nicolas Clermont,Pierre Gill,Warner Bros.
Bless the Child,29381494,40443010,65000000.0,107.0,Crime,R,https://pro.imdb.com/title/tt0163983?ref_=mojo_rl_summary&rf=mojo_rl_summary,Chuck Russell,Mace Neufeld,Peter Menzies Jr.,Paramount Pictures
The Watcher,28946615,47267829,30000000.0,97.0,Crime,R,https://pro.imdb.com/title/tt0204626?ref_=mojo_rl_summary&rf=mojo_rl_summary,Joe Charbanic,Christopher Eberts,Michael Chapman,Universal Pictures
"Girl, Interrupted",28912646,48350205,40000000.0,127.0,Biography,R,https://pro.imdb.com/title/tt0172493?ref_=mojo_rl_summary&rf=mojo_rl_summary,James Mangold,Cathy Konrad,Jack N. Green,Sony Pictures Entertainment (SPE)
Love & Basketball,27459615,27728118,20000000.0,124.0,Drama,PG-13,https://pro.imdb.com/title/tt0199725?ref_=mojo_rl_summary&rf=mojo_rl_summary,Gina Prince-Bythewood,Sam Kitt,Reynaldo Villalobos,New Line Cinema
High Fidelity,27287137,47126295,30000000.0,113.0,Comedy,R,https://pro.imdb.com/title/tt0146882?ref_=mojo_rl_summary&rf=mojo_rl_summary,Stephen Frears,Tim Bevan,Seamus McGarvey,Walt Disney Studios Motion Pictures
Book of Shadows: Blair Witch 2,26437094,47737094,15000000.0,90.0,Adventure,R,https://pro.imdb.com/title/tt0229260?ref_=mojo_rl_summary&rf=mojo_rl_summary,Joe Berlinger,Bill Carraro,Nancy Schreiber,Artisan Entertainment
Proof of Life,32598931,62761005,65000000.0,135.0,Action,R,https://pro.imdb.com/title/tt0228750?ref_=mojo_rl_summary&rf=mojo_rl_summary,Taylor Hackford,Taylor Hackford,Slawomir Idziak,Warner Bros.
The Adventures of Rocky & Bullwinkle,26005820,35134820,76000000.0,92.0,Adventure,PG,https://pro.imdb.com/title/tt0131704?ref_=mojo_rl_summary&rf=mojo_rl_summary,Des McAnuff,Allison P. Brown,Thomas E. Ackerman,Universal Pictures
Nurse Betty,25170054,29360400,35000000.0,110.0,Comedy,R,https://pro.imdb.com/title/tt0171580?ref_=mojo_rl_summary&rf=mojo_rl_summary,Neil LaBute,Steve Golin,Jean-Yves Escoffier,USA Films
Bicentennial Man,58223861,87423861,100000000.0,132.0,Comedy,PG,https://pro.imdb.com/title/tt0182789?ref_=mojo_rl_summary&rf=mojo_rl_summary,Chris Columbus,Michael Barnathan,Phil Meheux,Walt Disney Studios Motion Pictures
Deuce Bigalow: Male Gigolo,65538755,92938755,17000000.0,88.0,Comedy,R,https://pro.imdb.com/title/tt0205000?ref_=mojo_rl_summary&rf=mojo_rl_summary,Mike Mitchell,Barry Bernardi,Peter Lyons Collister,Walt Disney Studios Motion Pictures
Reindeer Games,23368995,32168970,42000000.0,104.0,Action,R,https://pro.imdb.com/title/tt0184858?ref_=mojo_rl_summary&rf=mojo_rl_summary,John Frankenheimer,Marty Katz,Alan Caso,Miramax
Titan A.E.,22753426,36754634,75000000.0,94.0,Action,PG,https://pro.imdb.com/title/tt0120913?ref_=mojo_rl_summary&rf=mojo_rl_summary,Don Bluth,Don Bluth,,Twentieth Century Fox
Boys and Girls,21799652,25850615,35000000.0,94.0,Comedy,PG-13,https://pro.imdb.com/title/tt0204175?ref_=mojo_rl_summary&rf=mojo_rl_summary,Robert Iscove,Jay Cohen,Ralf D. Bode,Dimension Films
Magnolia,22455976,48451803,37000000.0,188.0,Drama,R,https://pro.imdb.com/title/tt0175880?ref_=mojo_rl_summary&rf=mojo_rl_summary,Paul Thomas Anderson,Paul Thomas Anderson,Robert Elswit,New Line Cinema
Battlefield Earth,21471685,29725663,73000000.0,118.0,Action,PG-13,https://pro.imdb.com/title/tt0185183?ref_=mojo_rl_summary&rf=mojo_rl_summary,Roger Christian,Jonathan D. Krane,Giles Nuttgens,Warner Bros.
Urban Legends: Final Cut,21468807,38574362,14000000.0,97.0,Horror,R,https://pro.imdb.com/title/tt0192731?ref_=mojo_rl_summary&rf=mojo_rl_summary,John Ottman,Gina Matthews,Brian Pearson,Sony Pictures Entertainment (SPE)
Down to You,20069008,24419914,11000000.0,91.0,Comedy,PG-13,https://pro.imdb.com/title/tt0186975?ref_=mojo_rl_summary&rf=mojo_rl_summary,Kris Isacsson,Jason Kliot,Robert D. Yeoman,Miramax
Wonder Boys,19393557,33426588,55000000.0,107.0,Comedy,R,https://pro.imdb.com/title/tt0185014?ref_=mojo_rl_summary&rf=mojo_rl_summary,Curtis Hanson,Curtis Hanson,Dante Spinotti,Paramount Pictures
Anna and the King,39263420,113996937,92000000.0,148.0,Drama,PG-13,https://pro.imdb.com/title/tt0166485?ref_=mojo_rl_summary&rf=mojo_rl_summary,Andy Tennant,Lawrence Bender,Caleb Deschanel,Twentieth Century Fox
Dracula 2000,33022767,47053625,54000000.0,99.0,Action,,https://pro.imdb.com/title/tt0219653?ref_=mojo_rl_summary&rf=mojo_rl_summary,Patrick Lussier,W.K. Border,Peter Pau,Miramax
The Contender,17872723,22361811,20000000.0,126.0,Drama,R,https://pro.imdb.com/title/tt0208874?ref_=mojo_rl_summary&rf=mojo_rl_summary,Rod Lurie,Stephanie Antosca,Denis Maloney,DreamWorks Distribution
The Sixth Sense,293506292,672806292,40000000.0,107.0,Drama,PG-13,https://pro.imdb.com/title/tt0167404?ref_=mojo_rl_summary&rf=mojo_rl_summary,M. Night Shyamalan,Kathleen Kennedy,Tak Fujimoto,Walt Disney Studios Motion Pictures
Small Time Crooks,17266359,29934477,25000000.0,94.0,Comedy,PG,https://pro.imdb.com/title/tt0196216?ref_=mojo_rl_summary&rf=mojo_rl_summary,Woody Allen,Jean Doumanian,Fei Zhao,DreamWorks Distribution
Red Planet,17480890,33463969,80000000.0,106.0,Action,PG-13,https://pro.imdb.com/title/tt0199753?ref_=mojo_rl_summary&rf=mojo_rl_summary,Antony Hoffman,Bruce Berman,Peter Suschitzky,Warner Bros.
Center Stage,17200925,26385941,29000000.0,115.0,Drama,PG-13,https://pro.imdb.com/title/tt0210616?ref_=mojo_rl_summary&rf=mojo_rl_summary,Nicholas Hytner,Laurence Mark,Geoffrey Simpson,Sony Pictures Entertainment (SPE)
Best in Show,18715392,20789556,10000000.0,90.0,Comedy,PG-13,https://pro.imdb.com/title/tt0218839?ref_=mojo_rl_summary&rf=mojo_rl_summary,Christopher Guest,Karen Murphy,Roberto Schaefer,Warner Bros.
