revenue,budget,runtime_minutes,genres_Adventure,genres_Animation,genres_Biography,genres_Comedy,genres_Crime,genres_Drama,genres_Horror,genres_other_genres,rating_PG-13,rating_R,distributor_Sony Pictures Entertainment (SPE),distributor_Twentieth Century Fox,distributor_Universal Pictures,distributor_Walt Disney Studios Motion Pictures,distributor_Warner Bros.,distributor_other_distributor
34266564,7000000.0,101.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
19412993,63600000.0,102.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
24362772,25000000.0,108.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
47434430,82000000.0,118.0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
23049593,35000000.0,127.0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0
14828081,90000000.0,90.0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1
33978694,45000000.0,107.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
27965865,35000000.0,95.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
22844291,23000000.0,122.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
13105853,38000000.0,88.0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
15843608,25000000.0,87.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
12452362,24000000.0,107.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
26330482,10000000.0,93.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
10873148,15000000.0,96.0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0
10890222,63000000.0,105.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
16643191,5000000.0,82.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
206071502,100000000.0,105.0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
9902115,32000000.0,94.0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0
8678812,24000000.0,124.0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0
7201701,10000000.0,81.0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
18133495,57000000.0,116.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1
14400327,50000000.0,114.0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
14145677,60000000.0,105.0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0
13069740,8500000.0,119.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
7243669,28000000.0,89.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1
5541431,12000000.0,98.0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0
12591270,24000000.0,90.0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
10194274,8000000.0,92.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
211989043,100000000.0,122.0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
23106667,13000000.0,113.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
10409377,9000000.0,97.0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
6620242,21000000.0,112.0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0
4775009,3000000.0,82.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
152699946,25000000.0,121.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1
3548556,18000000.0,118.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1
3728888,7000000.0,90.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
3169930,14000000.0,112.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1
60289912,90000000.0,157.0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
151493655,73000000.0,118.0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
3003296,44000000.0,95.0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
177841558,70000000.0,105.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
974755371,125000000.0,152.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
347325802,90000000.0,90.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
433013274,98000000.0,130.0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
449220945,140000000.0,183.0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
368780809,93000000.0,92.0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
362211740,100000000.0,119.0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
351692268,87000000.0,131.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
880839846,93000000.0,178.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
287553595,30000000.0,108.0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
207283925,38000000.0,106.0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
450717150,85000000.0,116.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
274703340,115000000.0,100.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
176104344,70000000.0,87.0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
147934180,35000000.0,88.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
165335153,26000000.0,111.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
209947037,17000000.0,101.0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1
138307673,46000000.0,102.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1
200687492,60000000.0,87.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
235926552,100000000.0,146.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0
105178561,60000000.0,104.0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
281929795,25000000.0,97.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
141220678,45000000.0,83.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
114252154,68000000.0,124.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
147080413,102000000.0,99.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
203388341,68000000.0,136.0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
141069860,40000000.0,114.0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
147845033,57000000.0,123.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
71186502,49000000.0,87.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
143049560,115000000.0,126.0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
